"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Sejuani";"47";"21.1%";"8";"39";"11";"21";"18";"53.8%";"1.85";"1.62";"6.85";"5.38";"172.64";"5.28";"10.3";"314";"73.5%";"15.6%";"18%";""
"Mordekaiser";"45";"20.2%";"21";"24";"10";"9";"15";"37.5%";"2.96";"3.75";"2.96";"1.58";"258.33";"7.67";"12.2";"363";"53.8%";"26.9%";"21.4%";""
"Irelia";"45";"20.2%";"33";"12";"5";"5";"7";"41.7%";"3.92";"4.5";"4.42";"1.85";"318.25";"8.65";"14.7";"400";"61%";"28.7%";"23%";""
"Kennen";"43";"19.3%";"16";"27";"8";"15";"12";"55.6%";"1.78";"2.52";"3.63";"2.15";"268.89";"8.03";"12.2";"364";"52%";"17.1%";"21.2%";""
"Rakan";"35";"15.7%";"7";"28";"12";"13";"15";"46.4%";"0.32";"2.46";"7.46";"3.16";"39.54";"1.14";"7.8";"224";"71%";"2.9%";"13%";""
"Jayce";"35";"15.7%";"14";"21";"8";"12";"9";"57.1%";"3.19";"2.38";"4.9";"3.4";"278.52";"8.83";"13";"413";"68.3%";"26.9%";"23.5%";""
"Kai'Sa";"34";"15.2%";"7";"27";"11";"11";"16";"40.7%";"3.85";"1.74";"3.56";"4.26";"316.37";"9.93";"14.2";"445";"67.3%";"35%";"25.8%";""
"Xayah";"32";"14.3%";"12";"20";"10";"9";"11";"45%";"3.8";"2.15";"2.8";"3.07";"353.3";"10.29";"15.2";"443";"62.3%";"35.8%";"25.6%";""
"Qiyana";"30";"13.5%";"20";"10";"6";"5";"5";"50%";"2.5";"2.3";"4.6";"3.09";"282.7";"7.67";"13.3";"360";"55.5%";"19.5%";"21%";""
"Morgana";"27";"12.1%";"12";"15";"6";"10";"5";"66.7%";"1.67";"1.67";"8.2";"5.92";"57.13";"1.78";"8.3";"258";"77.1%";"13%";"14.6%";""
"Galio";"26";"11.7%";"11";"15";"7";"8";"7";"53.3%";"3";"2";"5.33";"4.17";"241.47";"7.61";"11.5";"363";"74.9%";"26.9%";"20.8%";""
"Ekko";"26";"11.7%";"12";"14";"8";"7";"7";"50%";"2.36";"1.71";"4.36";"3.92";"296.21";"8.85";"13";"388";"62.3%";"21.9%";"22.3%";""
