"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Mordekaiser";"22";"23.4%";"10";"12";"6";"5";"7";"41.7%";"2.25";"3.08";"2.08";"1.41";"260.5";"7.43";"12.2";"349";"48.6%";"25.2%";"21.2%";""
"Kalista";"19";"20.2%";"14";"5";"4";"3";"2";"60%";"2.6";"1.6";"2.8";"3.38";"312.6";"9.8";"14";"438";"77.1%";"37.1%";"25.2%";""
"Cassiopeia";"18";"19.1%";"8";"10";"6";"5";"5";"50%";"3.2";"1.9";"4";"3.79";"291.5";"8.51";"13.4";"392";"73.5%";"32.7%";"23.3%";""
"Ezreal";"17";"18.1%";"2";"15";"8";"5";"10";"33.3%";"2.93";"1.33";"2.93";"4.4";"346.87";"9.18";"15.1";"398";"71%";"35.5%";"24.6%";""
"Viktor";"16";"17%";"4";"12";"6";"6";"6";"50%";"2.58";"1.08";"4.33";"6.38";"340";"9.23";"14.6";"397";"68%";"25.4%";"24%";""
"Irelia";"16";"17%";"12";"4";"4";"3";"1";"75%";"3.75";"3";"4.75";"2.83";"291";"8.71";"13.7";"410";"60.7%";"26.8%";"22.9%";""
"Leona";"15";"16%";"2";"13";"7";"5";"8";"38.5%";"0.62";"3.08";"5.77";"2.08";"39.31";"1.14";"7.6";"219";"62.9%";"6.1%";"13.2%";""
"Azir";"12";"12.8%";"4";"8";"6";"1";"7";"12.5%";"1.63";"2.75";"2.25";"1.41";"296.75";"9.15";"12.3";"378";"62%";"26%";"24.3%";""
"Camille";"12";"12.8%";"5";"7";"4";"3";"4";"42.9%";"2.57";"3.29";"4.29";"2.09";"289";"8.43";"13.5";"394";"54.5%";"20.5%";"22.8%";""
"Riven";"11";"11.7%";"10";"1";"1";"1";"0";"100%";"8";"0";"5";"13";"358";"9.29";"18";"466";"61.9%";"38.1%";"25.4%";""
"Ryze";"8";"8.5%";"2";"6";"3";"2";"4";"33.3%";"3.5";"2.17";"2.83";"2.92";"351.17";"10.35";"15.4";"454";"67.9%";"37.5%";"26.2%";""
"Corki";"8";"8.5%";"4";"4";"3";"1";"3";"25%";"3.25";"2.25";"3.5";"3";"298.75";"9.58";"13.5";"431";"87.1%";"41.9%";"26.3%";""
"Taric";"7";"7.4%";"3";"4";"2";"2";"2";"50%";"0";"1";"5";"5";"39.5";"1.21";"7.4";"226";"83.3%";"0%";"13.3%";""
"Yasuo";"7";"7.4%";"3";"4";"3";"2";"2";"50%";"1.5";"3.25";"4.25";"1.77";"236.5";"8.02";"10.6";"359";"63.9%";"16.7%";"21.6%";""
"Taliyah";"7";"7.4%";"4";"3";"3";"2";"1";"66.7%";"3";"1.67";"8.67";"7";"276.33";"7.64";"13.4";"369";"64.8%";"16.7%";"20.3%";""
